en;nl;fr;de;sv;pl;no;es;it;pt;lv;lt
Enable this if you want to be able to change the amount of each quotation group.;Zet dit aan als je het aantal van elke offertegroep wilt kunnen aanpassen.;Activez cette option si vous souhaitez pouvoir modifier le montant de chaque groupe de devis.;Aktivieren Sie diese Einstellung, wenn Sie die Möglichkeit haben möchten, den Betrag für jede Angebotsgruppe anzupassen.;Slå på knappen om du vill ändra beloppet för varje offertgrupp.;Włącz tę opcję, jeśli chcesz mieć możliwość zmiany kwoty każdej grupy ofert.;Aktiver dette hvis du vil kunne endre beløpet for hver tilbudsgruppe.;Habilite esto si desea poder cambiar la cantidad de cada grupo de cotización.;Abilita questa opzione se desideri essere in grado di modificare l'importo di ciascun gruppo di citazioni.;Ative esta opção se quiser alterar o valor de cada grupo de cotação.;Iespējot to, ja vēlaties mainīt katras piedāvājuma grupas summu.;Įgalinkite tai, jei norite pakeisti kiekvienos pasiūlymo grupės sumą.
Quotation group multiplier;Quotation group multiplier;Multiplicateur de groupe de cotation;Quotation group multiplier;Multiplikatoreffekt för offertgruppen;Mnożnik grupy Oferty;Multiplikator for tilbudsgruppe;Multiplicador de grupo de cotización;Moltiplicatore di gruppo di citazioni;Multiplicador de grupo de cotação;Grupas reizinātājs piedāvājumiem;Grupinis pasiūlymų daugiklis
Edit presets;Voorinstellingen bewerken;Modifier les préréglages;Voreinstellungen bearbeiten;Anpassa tabellförinställningar.;Edytuj ustawienia wstępne;Redigere forhåndsinnstillinger;Editar ajustes preestablecidos;Modifica le impostazioni predefinite;Editar predefinições;Rediģēt sākotnējos iestatījumus;Redaguoti išankstinius nustatymus
Choose at which level table presets are allowed to be configured;Kies op welk niveau tabelinstellingen mogen worden geconfigureerd;Choisissez à quel niveau les préréglages du tableau sont autorisés à être configurés;Wählen Sie, auf welcher Ebene Tabellenvoreinstellungen konfiguriert werden dürfen;Välj på vilken nivå förinställningar för tabeller får konfigureras.;Wybierz, na jakim poziomie ustawienia wstępne tabeli mogą być konfigurowane;Velge på hvilket nivå tabellforhåndsinnstillinger som kan konfigureres;Elija en qué nivel se pueden configurar los ajustes preestablecidos de la tabla;Scegli a quale livello è consentito configurare le impostazioni predefinite della tabella;Escolha em qual nível as predefinições de tabela podem ser configuradas;Izvēlieties, kurā līmeņa tabulā ir atļauts konfigurēt;Pasirinkite, kuriuose lygio lentelės išankstiniuose nustatymuose leidžiama sukonfigūruoti
Original name:;Oorspronkelijke naam:;Nom original :;Originaler Name:;Ursprungligt namn:;Oryginalna nazwa:;Opprinnelig navn:;Nombre original:;Nome originale:;Nome original:;Sākotnējais nosaukums:;Originalus vardas:
Edit table preferences;Bewerk tabelinstellingen;Modifier les préférences de la table;Tabelleneinstellungen bearbeiten;Redigera tabellinställningar;Edytuj preferencje tabeli;Redigere tabellinnstillinger;Editar preferencias de mesa;Modifica preferenze tabella;Editar preferências de tabela;Rediģēt tabulas preferences;Redaguoti lentelės nuostatas
Add column;Kolom toevoegen;Ajouter une colonne;Spalte hinzufügen;Lägg till kolumn;Dodaj kolumnę;Legg til kolonne;Añadir columna;Aggiungi colonna;Adicionar coluna;Pievienot kolonnu;Pridėkite stulpelį
Use this to permanently remove this preference preset.;Gebruik dit om deze voorkeursinstelling permanent te verwijderen.;Utilisez cette option pour supprimer définitivement cette préférence prédéfinie.;Hiermit können Sie diese Voreinstellung dauerhaft entfernen.;Använd den här funktionen för att permanent ta bort den här inställningen.;Użyj tego, aby trwale usunąć to ustawienie wstępne preferencji.;Bruk denne til å fjerne denne forhåndsinnstillingen permanent.;Utilícelo para eliminar de forma permanente este ajuste preestablecido de preferencia.;Usa questa opzione per rimuovere definitivamente questa impostazione predefinita.;Use isto para remover permanentemente esta predefinição de preferência.;Izmantojiet to, lai neatgriezeniski noņemtu šo preferences iestatījumu.;Naudokite tai visam laikui pašalinti šį pasirinkimo nustatymą.
Delete preference;Voorkeur verwijderen;Supprimer la préférence;Präferenz löschen;Ta bort inställningar;Usuń preferencję;Slett innstilling;Eliminar preferencia;Elimina preferenza;Excluir preferência;Dzēst preferenci;Ištrinti pirmenybę
Add filter;Filter toevoegen;Ajouter un filtre;Filter hinzufügen;Lägg till filter;Dodaj filtr;Legg til filter;Añadir filtro;Aggiungi filtro;Adicionar filtro;Pievienot filtru;Pridėti filtrą
FALSE;FALSE;FAUX;FALSE;FELAKTIGT;Błąd;USANN;FALSO;FALSO;FALSO;Nē;NE
TRUE;TRUE;VRAI;TRUE;SANT;Prawda;SANN;CIERTO;VERO;VERDADEIRO;Jā;TAIP
VAT number;btw nummer;Numéro de TVA;Umsatzsteuer Identifikationsnummer (USt-ID);Momsnummer;Numer VAT;MVA-nummer;Número de valor agregado;Partita IVA;CNPJ;PVN numurs;PVM numeris
Configuration model is locked;Configuratiemodel is geblokkeerd;Le modèle de configuration est verrouillé;Konfigurationsmodell ist gesperrt;Konfigurationsmodellen är låst;Konfiguracja modelu jest zablokowana;Konfigurasjonsmodellen er låst;El modelo de configuración está bloqueado;Il modello di configurazione è bloccato;O modelo de configuração está bloqueado;Konfigurācijas modelis ir bloķēts;Konfigūracijos modelis užrakintas
The current configuration model is locked and the desired action cannot be executed. Please contact your system administrator if you want to execute the desired action.;Het configuratiemodel is geblokkeerd en de gewenste actie kan niet worden uitgevoerd. Neem contact op met je admin om de gewenste actie uit te voeren.;Le modèle de configuration actuel est verrouillé et l'action souhaitée ne peut pas être exécutée. Veuillez contacter votre administrateur système si vous souhaitez exécuter l'action souhaitée.;Das aktuelle Konfigurationsmodell ist gesperrt und die gewünschte Aktion kann nicht ausgeführt werden. Bitte wenden Sie sich an Ihren Administrator, um die gewünschte Aktion auszuführen.;Den aktuella konfigurationsmodellen är låst och den önskade åtgärden kan inte utföras. Kontakta din systemadministratör om du vill utföra den önskade åtgärden.;Bieżący model konfiguracji jest zablokowany i nie można wykonać żądanej akcji. Skontaktuj się z administratorem systemu, jeśli chcesz wykonać żądaną akcję.;Den gjeldende konfigurasjonsmodellen er låst, og den ønskede handlingen kan ikke utføres. Kontakt systemansvarlig hvis du vil utføre den ønskede handlingen.;El modelo de configuración actual está bloqueado y no se puede ejecutar la acción deseada. Póngase en contacto con el administrador de su sistema si desea ejecutar la acción deseada.;Il modello di configurazione attuale è bloccato e l'azione desiderata non può essere eseguita. Si prega di contattare l'amministratore di sistema se si desidera eseguire l'azione desiderata.;O modelo de configuração atual está bloqueado e a ação desejada não pode ser executada. Entre em contato com o administrador do sistema se desejar executar a ação desejada.;Pašreizējais konfigurācijas modelis ir bloķēts, un vēlamo darbību nevar izpildīt. Lūdzu, sazinieties ar sistēmas administratoru, ja vēlaties izpildīt vēlamo darbību.;Dabartinis konfigūracijos modelis yra užrakintas ir norimo veiksmo negalima vykdyti. Jei norite vykdyti norimą veiksmą, susisiekite su savo sistemos administratoriumi.
There already exists a step image in this configuration model which is set as the configuration image. Would you like to change it to this step?;Er is al een afbeelding van een stap ingesteld als configuratieafbeelding in dit model. Wil je het vervangen door deze afbeelding?;Il existe déjà une image d'étape dans ce modèle de configuration qui est définie comme image de configuration. Voulez-vous la changer pour cette étape ?;In diesem Modell ist bereits eine Abbildung einer Stufe als Konfigurationsbild eingestellt. Möchten Sie es durch diese Abbildung ersetzen?;Det finns redan en stegbild i den här konfigurationsmodellen som är inställd som konfigurationsbild. Vill du ändra den till det här steget?;W tym modelu konfiguracji istnieje już obraz kroku, który jest ustawiony jako obraz konfiguracji. Czy chcesz zmienić go na ten krok?;Det finnes allerede et stegbilde i denne konfigurasjonsmodellen som er angitt som konfigurasjonsbilde. Vil du endre det til dette stegbildet?;Ya existe una imagen de paso en este modelo de configuración que se establece como la imagen de configuración. ¿Te gustaría cambiarlo a este paso?;Esiste già un'immagine di passaggio in questo modello di configurazione che è impostata come immagine di configurazione. Desideri cambiarla con questo passaggio?;Já existe uma imagem de etapa neste modelo de configuração que está definida como imagem de configuração. Você gostaria de mudar para esta etapa?;Šajā konfigurācijas modelī jau pastāv soļa attēls, kas ir iestatīts kā konfigurācijas attēls. Vai vēlaties to mainīt uz šo soli?;Šiame konfigūracijos modelyje jau yra žingsnio vaizdas, kuris nustatomas kaip konfigūracijos vaizdas. Ar norėtumėte tai pakeisti į šį žingsnį?
Change configuration image?;Configuratieafbeelding wijzigen?;Modifier l'image de configuration ?;Konfigurationsbild ändern?;Ändra konfigurationsbild?;Zmienić zdjęcie konfiguracji?;Endre konfigurasjonsbilde?;¿Cambiar imagen de configuración?;Cambia immagine di configurazione?;Alterar imagem de configuração?;Mainīt konfigurācijas attēlu?;Keisti konfigūracijos vaizdą?
Use step image as configuration image on document;Afbeelding van deze stap als configuratieafbeelding in het document gebruiken;Utiliser l'image d'étape comme image de configuration sur le document;Verwenden Sie die Abbildung dieses Schrittes als Konfigurationsbild im Dokument;Använd stegbild som konfigurationsbild i dokumentet;Użyj obrazu kroku jako obrazu konfiguracji w dokumencie;Bruke stegbilde som konfigurasjonsbilde på dokument;Usar imagen de paso como imagen de configuración en el documento;Utilizza l'immagine di passaggio come immagine di configurazione sul documento;Use a imagem da etapa como imagem de configuração no documento;Dokumentā izmantojiet soļa attēlu kā konfigurācijas attēlu;Naudokite žingsnio vaizdą kaip konfigūracijos vaizdą dokumente
Confirm;Bevestigen;Confirmer;Bestätigen;Bekräfta;;Bekreft;Confirmar;Conferma;confirme;Apstiprināt;Patvirtinti
Are you sure you want to delete this unit of measurement? It currently is assigned to;Weet je zeker dat je deze meeteenheid wilt verwijderen? Deze is momenteel gekoppeld aan;Êtes-vous sûr de vouloir supprimer cette unité de mesure ? Elle est actuellement attribuée à;Sind Sie sicher, dass Sie diese Maßeinheit löschen wollen? Sie ist derzeit verlinkt mit;Är du säker på att du vill radera mätningsenheten? Den är för närvarande tilldelad till;Czy na pewno chcesz usunąć tę jednostkę miary? Obecnie jest przypisany do;Er du sikker på at du vil slette denne måleenheten? Den er for øyeblikket tilordnet til;¿Está seguro de que desea eliminar esta unidad de medida? Actualmente está asignado a;Sei sicuro di voler eliminare questa unità di misura? Attualmente è assegnata a;Tem certeza de que deseja excluir esta unidade de medida? Atualmente está atribuído a;Vai esat pārliecināts, ka vēlaties izdzēst šo mērīšanas vienību? Pašlaik tas ir piešķirts;Ar tikrai norite ištrinti šį matavimo vienetą? Šiuo metu jis priskiriamas
Showroom overview;Showroom overzicht;"Aperçu de la """"Showroom""""";Showroom Übersicht;Översikt över showroom;Przegląd showroom;Oversikt over showroom;Descripción general de la sala de exposición;Panoramica del salone;Visão geral do showroom;Izstāžu zāles pārskats;Salono apžvalga
View image;Afbeelding bekijken;Voir l'image;Abbildung anzeigen;Visa bild;Zobacz zdjęcie;Vis bilde;Ver imagen;Visualizza immagine;Ver imagem;Skata attēls;Peržiūrėti Nuotrauka
Show all;Alles tonen;Tout afficher;Alles anzeigen;Visa alla;Pokaż wszystko;Vis alt;Mostrar todo;Mostra tutto;Mostre tudo;Parādīt visu;Rodyti viską
Everything mentioned above;Alles wat hierboven is genoemd;Tout ce qui est mentionné ci-dessus;Alles oben genannte;Allt som nämns ovan;Wszystko wymienione powyżej;Alt nevnt ovenfor;Todo lo mencionado anteriormente;Tutto quanto sopra menzionato;Tudo mencionado acima;Viss minētais iepriekš;Viskas, kas minėta aukščiau
removed;verwijderd;retiré;aus der Konfiguration;bort;usunięte;Fjernet;remoto;rimosso;removido;noņemts;pašalintas
from the configuration. (This cannot be undone.);van de configuratie (dit kan niet worden teruggedraaid).;de la configuration. (Ceci ne peut pas être annulé).;entfernt (dies kann nicht rückgängig gemacht werden).;från konfigurationen. (Detta kan inte göras ogjort.);z konfiguracji. (Tego nie można cofnąć).;fra konfigurasjonen. (Dette kan ikke angres.);de la configuración. (Esto no se puede deshacer.);dalla configurazione. (Ciò non può essere annullato.);da configuração. (Isto não pode ser desfeito.);no konfigurācijas. (To nevar atsaukt.);iš konfigūracijos. (To negalima panaikinti.)
Do you want to continue?;Wil je doorgaan?;Voulez-vous continuer ?;Wollen Sie fortfahren?;Vill du fortsätta?;Czy chcesz kontynuować?;Vil du fortsette?;¿Quieres continuar?;Vuoi continuare?;Você quer continuar?;Vai vēlaties turpināt?;Ar norite tęsti?
Are you sure you want to delete this configuration?;Weet je zeker dat je deze configuratie wilt verwijderen?;Êtes-vous sûr de vouloir supprimer cette configuration ?;Sind Sie sicher, dass Sie diese Konfiguration löschen möchten?;Är du säker på att du vill ta bort den här konfigurationen?;Jesteś pewny/a, że chcesz usunąć tą konfigurację?;Er du sikker p?t du vil slette denne konfigurasjonen?;¿Está seguro de que desea eliminar esta configuración?;Sei sicuro di voler eliminare questa configurazione?;Tem certeza de que deseja excluir esta configuração?;Vai esat pārliecināts, ka vēlaties izdzēst šo konfigurāciju?;Ar tikrai norite ištrinti šią konfigūraciją?
The rules for this configuration have changed.;De regels van deze configuratie zijn veranderd.;Les règles pour cette configuration ont changé.;Die Vorgaben für diese Konfiguration haben sich geändert.;Reglerna för den här konfigurationen har ändrats.;Zasady tej konfiguracji uległy zmianie.;Reglene for denne konfigurasjonen er endret.;Las reglas para esta configuración han cambiado.;Le regole per questa configurazione sono cambiate.;As regras para esta configuração foram alteradas.;Šīs konfigurācijas noteikumi ir mainījušies.;Šios konfigūracijos taisyklės pasikeitė.
Configuration is no longer possible;Configuratie is niet langer mogelijk;La configuration n'est plus possible;Konfiguration ist nicht mehr möglich;Konfigurationen är inte längre möjlig;Konfiguracja nie jest dłużej możliwa;Konfigurasjon er ikke lenger mulig;La configuración ya no es posible;Configurazione non più possibile;A configuração não é mais possível;Konfigurācija vairs nav iespējama;Konfigūracija nebeįmanoma
To open this configuration, the following has to be removed:;Om deze configuratie te openen, moet het volgende worden verwijderd:;Pour ouvrir cette configuration, les éléments suivants doivent être supprimés :;Um diese Konfiguration zu öffnen, muss Folgendes entfernt werden:;För att öppna den här konfigurationen måste följande tas bort:;Aby otworzyć tę konfigurację, należy usunąć:;Hvis du vil ?e denne konfigurasjonen, m?ølgende fjernes:;Para abrir esta configuración, se debe eliminar lo siguiente:;Per aprire questa configurazione, deve essere rimossa quanto segue:;Para abrir esta configuração, o seguinte deve ser removido:;Lai atvērtu šo konfigurāciju, ir jānoņem šādas:;Norėdami atidaryti šią konfigūraciją, reikia pašalinti šiuos dalykus:
The configuration model has changed. To open this configuration, the following value(s) will change:;Het configuratiemodel is gewijzigd. Om deze configuratie te openen, moeten de volgende aanpassingen worden gemaakt:;Le modèle de configuration a changé. Pour ouvrir cette configuration, les valeurs suivantes doivent être modifiées :;Das Konfigurationsmodell wurde geändert. Um diese Konfiguration zu öffnen, werden die folgenden Anpassungen vorgenommen:;Konfigurationsmodellen har ändrats. För att öppna den här konfigurationen måste följande värde(n) ändras:;Zmienił się model konfiguracji. Aby otworzyć tę konfigurację, zmienią się następujące wartości:;Konfigurasjonsmodellen er endret. Hvis du vil ?e denne konfigurasjonen, endres følgende verdi(er):;El modelo de configuración ha cambiado. Para abrir esta configuración, los siguientes valores cambiarán:;Il modello di configurazione è cambiato. Per aprire questa configurazione, cambieranno i seguenti valori:;O modelo de configuração mudou. Para abrir esta configuração, os seguintes valores serão alterados:;Konfigurācijas modelis ir mainījies. Lai atvērtu šo konfigurāciju, mainīsies šāda vērtība (-as):;Konfigūracijos modelis pasikeitė. Norėdami atidaryti šią konfigūraciją, pasikeis ši vertė (-os):
Contact your admin for more information.;Neem contact op met je admin voor meer informatie.;Contactez votre administrateur pour plus d'informations.;Für weitere Informationen wenden Sie sich bitte an den Administrator.;Kontakta din administratör för mer information.;Aby uzyskać więcej informacji, skontaktuj się z administratorem.;Kontakt administratoren for mer informasjon.;Póngase en contacto con su administrador para obtener más información.;Contatta il tuo amministratore per ulteriori informazioni.;Entre em contato com seu administrador para obter mais informações.;Sazinieties ar administratoru, lai iegūtu papildinformāciju.;Norėdami gauti daugiau informacijos, susisiekite su savo administratoriumi.
